week,sector_name,lat,long,azimuth,zone,post_code,state,total_score,national_overview,post_code_overview,area_experience_state_rank,area_experience_post_code_rank,average_customer_experience_state,average_customer_experience_post_code,state_area_experience_base_rank,post_code_area_experience_base_rank,crowd_post_code_score,complaint_post_code_score,complaint_data_post_code_score,complaint_voice_post_code_score,addtional_post_code_score,crowd_state_score,complaint_state_score,complaint_data_state_score,complaint_voice_state_score,addtional_state_score,benchmark_area_post_code,tpg_total_post_code_score,optus_total_post_code_score,telstra_total_post_code_score,benchmark_area_state,tpg_total_state_score,optus_total_state_score,telstra_total_state_score,usage_pattern_post_code,usage_pattern_state,total_#_of_churned_users_sector,total_#_of_churned_users_post_code,total_#_of_churned_users_state,total_#_of_churned_users_sector_acumulated,total_#_of_churned_users_post_code_acumulated,total_#_of_churned_users_state_acumulated,user_count_per_sector,user_count_per_post_code,user_count_per_state,churned_ratio_post_code,churned_ratio_state,churned_ratio_post_code_accumulated,churned_ratio_state_accumulated,total_complaints_per_post_code,total_complaints_per_state,total_complaints_per_sector,quality,accessibility,capacity,eea_integrity,unique_integrity,netscout_integrity,ran_integrity,crowd_integrity
24/03/2025,505701_1,-12.46072,130.83859,120,Zone2,800,NT,78,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,1,3,10,3,28,161,9327,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,70,86,57,1,1,1,1,1
24/03/2025,505701_2,-12.46072,130.83859,240,Zone2,800,NT,76,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,3,28,161,7731,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,72,87,65,1,1,1,1,1
24/03/2025,505701_3,-12.46072,130.83859,0,Zone2,800,NT,77,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,-,28,161,6707,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,72,87,62,1,1,1,1,1
24/03/2025,505716_1,-12.4651,130.8425,120,Zone2,800,NT,73,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,1,28,161,6473,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,80,90,75,1,1,1,1,1
24/03/2025,505716_2,-12.4651,130.8425,240,Zone2,800,NT,80,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,-,28,161,2447,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,88,88,88,1,1,1,1,1
24/03/2025,505716_3,-12.4651,130.8425,0,Zone2,800,NT,79,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,2,28,161,6563,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,89,89,59,1,1,1,1,1
24/03/2025,558304_1,-12.4655,130.8471,120,Zone2,800,NT,83,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,-,28,161,6091,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,60,100,70,1,1,1,1,1
24/03/2025,558304_2,-12.4655,130.8471,240,Zone2,800,NT,77,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,1,28,161,1726,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,80,100,100,1,1,1,1,1
24/03/2025,558304_3,-12.4655,130.8471,0,Zone2,800,NT,73,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,5,28,161,2008,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,80,100,70,1,1,1,1,1
24/03/2025,558318_1,-12.46354234,130.8436801,120,Zone2,800,NT,82,Green,Green,90,83,88,89,91,76,75,100,100,100,80,75,100,100,100,80,50,65,70,65,100,65,65,65,Normal Data User,Normal Data User,-,3,10,1,28,161,5144,17625,58537,0.017021277,0.017083212,0.158865248,0.275039718,-,-,-,60,100,80,1,1,1,1,1
