week,user,device,subscription,tenure,state,post_code,customer_experience_rank,area_experience_state_rank,area_experience_post_code_rank,customer_base_rank(data+voice),customer_base_rank(data),probing_eea_customer,crowd_data_customer,complaint_data_customer,customer_base_rank(voice),probing_netscout_customer,crowd_voice_customer,complaint_voice_customer,sector_base_rank,ran_sector,probing_sector,crowd_sector,complaint_sector,additional_sector,probing_sector_eea,probing_sector_netscout,complaint_data_sector,complaint_voice_sector,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s1_score,s2_score,s3_score,s4_score,s5_score,s6_score,s7_score,s8_score,s9_score,s10_score,s1-duration_%,s2-duration_%,s3-duration_%,s4-duration_%,s5-duration_%,s6-duration_%,s7-duration_%,s8-duration_%,s9-duration_%,s10-duration_%,s1-ran,s2-ran,s3-ran,s4-ran,s5-ran,s6-ran,s7-ran,s8-ran,s9-ran,s10-ran,s1-probing_sector_eea,s2-probing_sector_eea,s3-probing_sector_eea,s4-probing_sector_eea,s5-probing_sector_eea,s6-probing_sector_eea,s7-probing_sector_eea,s8-probing_sector_eea,s9-probing_sector_eea,s10-probing_sector_eea,s1-probing_sector_netscout,s2-probing_sector_netscout,s3-probing_sector_netscout,s4-probing_sector_netscout,s5-probing_sector_netscout,s6-probing_sector_netscout,s7-probing_sector_netscout,s8-probing_sector_netscout,s9-probing_sector_netscout,s10-probing_sector_netscout,s1-crowd,s2-crowd,s3-crowd,s4-crowd,s5-crowd,s6-crowd,s7-crowd,s8-crowd,s9-crowd,s10-crowd,s1-complaint-voice,s2-complaint-voice,s3-complaint-voice,s4-complaint-voice,s5-complaint-voice,s6-complaint-voice,s7-complaint-voice,s8-complaint-voice,s9-complaint-voice,s10-complaint-voice,s1-complaint-data,s2-complaint-data,s3-complaint-data,s4-complaint-data,s5-complaint-data,s6-complaint-data,s7-complaint-data,s8-complaint-data,s9-complaint-data,s10-complaint-data,s1-churn_score,s2-churn_score,s3-churn_score,s4-churn_score,s5-churn_score,s6-churn_score,s7-churn_score,s8-churn_score,s9-churn_score,s10-churn_score,zone,user_usage_data_volume(gb),primary_data_usage_pattern_user,s1_usage_data_volume(gb),primary_data_usage_pattern_sector,s1_churned_users,s2_churned_users,s3_churned_users,s4_churned_users,s5_churned_users,s6_churned_users,s7_churned_users,s8_churned_users,s9_churned_users,s10_churned_users,s1_customer_eea,s2_customer_eea,s3_customer_eea,s4_customer_eea,s5_customer_eea,s6_customer_eea,s7_customer_eea,s8_customer_eea,s9_customer_eea,s10_customer_eea,total_call_by_user,worst_sec1,worst_sec2,worst_sec3,capacity_worst_sec1,accessibility_worst_sec1,quality_worst_sec1,capacity_worst_sec2,accessibility_worst_sec2,quality_worst_sec2,capacity_worst_sec3,accessibility_worst_sec3,quality_worst_sec3,s1_churn_ratio,s2_churn_ratio,s3_churn_ratio,s4_churn_ratio,s5_churn_ratio,s6_churn_ratio,s7_churn_ratio,s8_churn_ratio,s9_churn_ratio,s10_churn_ratio,s1_city,s10_city,s2_city,s3_city,s4_city,s5_city,s6_city,s7_city,s8_city,s9_city,worst_sec1_city,worst_sec2_city,worst_sec3_city,complaint_rfc_fault,s1_complaint_count,s2_complaint_count,s3_complaint_count,s4_complaint_count,s5_complaint_count,s6_complaint_count,s7_complaint_count,s8_complaint_count,s9_complaint_count,s10_complaint_count,primary_voice_usage_pattern_user,user_category
24/03/2025,GBEBEHJHCFA,Mobiwire V Lite 2,$49 Small Pln,-,SA,5098,59,74,67,48,55,100,-,10,40,70,-,10,69,77,80,60,27,100,60,100,17,37,588144_1,588144_2,588144_3,540266_3,588154_2,540266_1,505558_1,505019_1,505105_3,505167_3,68,70,71,75,81,79,78,80,81,78,79.3,10.25,1.61,1,0.94,0.87,0.67,0.4,0.4,0.4,77,76,71,76,78,74,74,75,77,73,60,60,60,40,60,65,60,75,65,65,100,100,100,100,100,100,100,100,100,100,60,60,60,70,75,65,65,60,75,60,30,50,100,100,100,100,100,100,100,100,10,30,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Zone1,0.85,Normal Data User,309.2,Normal Data User,3,1,11,6,1,9,11,1,3,9,9010,12051,47227,76316,44988,69969,33343,33900,20216,65970,102,588144_1,588144_2,588144_3,77,87,66,70,88,67,52,87,66,0,0,0,0,0,0,0,0,0,0,Ingle Farm,Walkerville,Ingle Farm,Ingle Farm,ADELAIDE,Thebarton,ADELAIDE,Modbury,North Adelaide,Modbury North,Ingle Farm,Ingle Farm,Ingle Farm,"['Unplanned Mobile Outage', 'Call Dropped Blank Call']",42,15,5,-,-,-,-,-,-,-,Heavy Voice User,CAT 1
24/03/2025,GBEAECIIBDH,Guangdong CPH2483,-,-,NSW,2340,60,75,72,62,73,45,-,100,50,0,-,100,58,75,91,24,100,0,84,97,100,100,240327_3,240327_2,240327_1,240326_2,240354_1,-,-,-,-,-,83,73,73,73,73,-,-,-,-,-,29.73,27.03,21.62,10.81,10.81,-,-,-,-,-,67,78,78,80,79,-,-,-,-,-,70,90,90,90,85,-,-,-,-,-,100,95,95,95,100,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone3,-,-,41.26,Normal Data User,-,-,-,-,-,-,-,-,-,-,1945,990,163,956,696,-,-,-,-,-,2,240327_2,240327_1,240326_2,90,100,80,100,99,60,100,100,80,-,-,-,-,-,-,-,-,-,-,Piallamore,-,Piallamore,Piallamore,Tamworth,Duri,-,-,-,-,Piallamore,Piallamore,Tamworth,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GBEHIHDFJGA,Apple iPhone 13 (A2633),$70 SIM Only Super+ pln,-,QLD,4215,62,66,73,54,55,100,-,10,53,95,-,10,70,70,82,62,40,96,67,96,49,31,404272_2,404370_1,404371_3,404305_3,404059_3,404305_4,404391_3,440097_1,477189_1,477115_2,71,71,72,72,71,76,78,77,78,76,23.52,18.64,13.06,10.18,7.67,5.02,4.23,2.93,1.86,1.26,69,69,74,69,71,67,73,73,73,72,65,70,65,75,60,65,65,70,75,55,95,100,95,95,95,95,100,95,100,95,70,50,70,55,65,65,60,65,60,70,10,30,10,30,30,100,100,50,50,100,30,50,30,50,50,100,100,80,80,100,100,80,100,100,100,100,100,100,100,100,Zone1,0.2299999999999999,Normal Data User,902.55,Heavy Data User,3,9,1,4,5,8,5,10,4,3,29738,13006,27518,39829,12647,34534,14627,47230,29232,26271,37,404272_2,404370_1,404059_3,33,89,69,35,91,70,49,90,79,0,0.1,0,0,0,0,0,0,0,0,Southport,Southport,Robina,Southport,Southport,Gold Coast,Southport,Christine,Tallebudgera,Burleigh Heads,Southport,Robina,Gold Coast,"['Poor Network Quality', 'Call Issues', 'Unplanned Mobile Outage', 'Internet Speed or Connection Issue', 'Poor Network Service']",24,12,18,13,12,-,-,6,6,-,Normal Voice User,CAT 4
24/03/2025,GBEBEIGCABJ,Apple iPhone 14 (A2882),Medium Handset Pln,-,NSW,2330,62,75,76,49,43,75,-,10,55,100,-,10,74,75,86,58,72,79,75,97,72,72,202364_2,227421_2,202109_1,240139_2,228259_2,241284_3,202352_1,240005_2,228259_1,202947_2,77,72,75,79,83,80,82,79,82,78,30.28,21.11,12.24,6.94,6.54,4.06,3.12,2.63,1.83,1.49,74,71,74,76,80,80,82,77,82,74,80,75,65,80,70,70,65,85,90,65,95,100,100,95,95,100,100,95,95,100,55,60,55,45,70,70,65,60,45,70,80,30,80,100,100,80,100,80,100,80,80,30,80,100,100,80,100,80,100,80,100,100,100,-,-,80,-,100,-,100,Zone3,0.93,Normal Data User,162.53,Normal Data User,3,5,1,-,-,3,-,1,-,2,14219,17418,54228,8095,2305,5782,5314,5261,2460,57670,46,227421_2,202109_1,202364_2,40,100,80,66,88,68,64,82,64,0,0,0,-,-,0.1,-,0,-,0,Pokolbin,Leichhardt,Leichhardt,Petersham,Pokolbin,Pokolbin,CESSNOCK,Cessnock,Allandale,Pokolbin,Leichhardt,Petersham,Pokolbin,"['4G Backup Not Working', 'Call Dropped Blank Call']",4,12,4,-,-,2,-,2,-,2,Normal Voice User,CAT 4
24/03/2025,GBEDDEHCHBH,Unknown,$45 Prepaid Plus.,-,QLD,4737,62,66,67,68,85,70,-,100,50,0,-,100,55,72,71,12,100,19,47,94,100,100,404537_1,404579_1,404652_1,404150_1,440159_1,404738_1,404510_1,440159_2,-,-,61,71,69,72,70,69,69,65,-,-,62.62,23.87,12.36,0.59,0.41,0.07,0.04,0.04,-,-,71,78,69,81,64,77,75,74,-,-,40,50,70,85,85,70,70,55,-,-,95,100,75,95,100,100,100,95,-,-,-,35,30,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,80,-,-,-,-,-,-,-,-,Zone2,14.04,Heavy Data User,56.28,Normal Data User,-,2,-,-,-,-,-,-,-,-,1604,3846,3359,904,644,1343,1476,498,-,-,0,404537_1,440159_2,404652_1,58,82,80,80,98,40,70,97,60,-,0.1,-,-,-,-,-,-,-,-,Sarina,-,Mackay,Mackay,Bucasia,Slade Point,Mackay,Mackay,Slade Point,-,Sarina,Slade Point,Mackay,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,CAT 2
24/03/2025,GBECEGJHAJD,Apple iPhone 15 (A3090),$35 Prepaid Plus.,-,NSW,2177,62,75,80,40,65,100,-,30,15,0,-,30,83,72,87,64,92,100,75,98,92,92,202291_1,201582_1,227167_1,227161_1,201594_3,202291_3,227161_3,201594_2,202291_2,240172_2,78,78,80,83,79,79,81,77,82,79,31.76,18.92,15.54,12.84,10.14,4.05,2.7,2.03,0.68,0.68,74,74,68,73,70,70,71,72,74,71,70,80,80,80,70,70,85,65,65,75,95,100,100,100,100,100,100,95,100,95,70,45,60,70,75,65,60,65,80,65,80,100,100,100,80,100,100,100,100,100,80,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Zone1,0.17,Normal Data User,561.35,Heavy Data User,7,4,5,1,5,3,5,7,10,3,31680,36657,38495,37980,45079,68925,47179,36825,35053,26130,167,201594_2,202291_1,201582_1,54,88,68,66,88,67,60,88,67,0,0,0,0,0,0,0,0,0,0,Bonnyrigg,CABRAMATTA WEST,Mount Pritchard,Sydney,Bonnyrigg Heights,Edensor Park,Bonnyrigg,Bonnyrigg Heights,Edensor Park,Bonnyrigg,Edensor Park,Bonnyrigg,Mount Pritchard,"['Call routed incorrectly', 'Poor Network Service']",6,-,-,-,6,-,-,-,-,-,Heavy Voice User,CAT 1
24/03/2025,GBEAGCECHAE,Google Pixel 7a,$35 Prepaid Plus.,-,NSW,2226,62,75,82,57,50,0,-,100,63,25,-,100,67,74,73,37,100,50,82,63,100,100,202280_1,227143_2,202259_1,202268_2,202035_2,241250_1,202989_3,343730_3,202109_2,227519_1,53,75,88,81,80,82,81,74,79,80,25.17,11.71,9.11,5.85,4.52,4.26,2.76,2.26,1.42,1.42,74,73,81,75,74,71,69,74,69,74,90,85,80,75,70,80,75,40,75,70,-,100,100,100,100,100,100,100,95,100,-,25,80,65,65,70,70,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,100,-,100,100,100,100,100,100,100,Zone1,0,Normal Data User,65.63,Normal Data User,-,1,-,4,2,6,8,5,3,5,741,10110,32228,42112,29767,34574,90527,71381,175669,34698,13,202280_1,343730_3,227143_2,59,87,66,63,88,67,60,100,60,-,0,-,0,0,0,0,0,0,0,Bonnet Bay,Sutherland,Oyster Bay,Kirrawee,Menai,Miller,LEN WATERS ESTATE,Arncliffe,Pakenham,Petersham,Bonnet Bay,Pakenham,Oyster Bay,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,CAT 4
24/03/2025,GBEBGHCDAGI,Mobiwire V Pro 2,$35 Prepaid Plus.,-,NSW,2371,63,75,63,75,100,100,-,100,50,0,-,100,51,74,83,0,100,0,70,95,100,100,202688_0,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone3,0,Normal Data User,0.8200000000000001,Normal Data User,-,-,-,-,-,-,-,-,-,-,837,-,-,-,-,-,-,-,-,-,7,202688_0,-,-,70,98,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Deepwater,-,-,-,-,-,-,-,-,-,Deepwater,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,CAT 4
24/03/2025,EGHBJAABIFHGDED,Quectel EC21-AU,-,-,NSW,2140,63,75,80,88,75,50,-,100,100,-,-,100,37,0,83,0,100,0,65,100,100,100,202781_12,202781_9,-,-,-,-,-,-,-,-,53,56,-,-,-,-,-,-,-,-,98.68,1.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,80,-,-,-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone1,-,-,1.62,Normal Data User,-,-,-,-,-,-,-,-,-,-,502,165,-,-,-,-,-,-,-,-,-,202781_12,202781_9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Homebush Bay,-,Homebush Bay,-,-,-,-,-,-,-,Homebush Bay,Homebush Bay,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
24/03/2025,GDJGGDHHCBEJ,Samsung Galaxy A34 5g,-,-,QLD,4737,63,66,67,78,55,10,-,100,100,-,-,100,48,71,68,0,100,0,40,95,100,100,404537_1,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,Zone2,-,-,56.28,Normal Data User,-,-,-,-,-,-,-,-,-,-,1604,-,-,-,-,-,-,-,-,-,-,404537_1,-,-,58,82,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sarina,-,-,-,-,-,-,-,-,-,Sarina,-,-,-,-,-,-,-,-,-,-,-,-,-,Normal Voice User,-
